Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Location,Speed_limit,Light_Conditions,Weather_Conditions,Urban_or_Rural_Area
52,2,1,1,6,612,40,6,1,2
1,3,2,1,6,22,30,7,1,1
21,3,1,1,6,257,30,4,1,1
35,2,2,1,6,395,70,4,1,2
97,3,1,1,6,913,60,6,8,2
41,3,1,2,6,433,70,1,1,2
31,3,2,2,6,342,70,1,1,2
13,3,2,3,6,203,30,1,1,1
50,1,1,1,6,584,70,6,5,2
1,3,2,1,6,9,30,4,1,1
1,3,1,1,6,28,30,7,1,1
32,3,2,1,7,353,60,6,2,2
1,3,4,3,7,19,30,1,2,1
13,3,2,3,7,203,50,1,7,2
44,3,2,1,7,500,30,1,1,1
1,3,1,1,7,9,30,1,1,1
1,3,2,2,7,26,30,4,1,1
14,3,1,1,7,215,30,4,2,1
14,3,2,1,7,215,30,4,2,1
62,3,2,2,7,746,50,4,1,2
1,3,2,1,1,5,30,4,1,1
46,3,2,3,1,533,60,1,2,2
31,3,1,1,1,340,70,1,2,2
16,3,2,1,1,231,40,1,2,2
17,3,2,1,1,243,50,4,1,2
40,3,2,1,1,421,40,6,1,1
43,3,2,1,1,475,70,4,1,2
47,2,1,2,1,562,60,6,5,2
52,2,2,1,2,612,40,4,2,1
46,3,2,1,2,536,30,1,1,1
62,3,1,1,2,743,60,1,2,2
47,3,3,1,2,562,30,1,3,1
1,3,2,1,2,9,30,1,1,1
1,3,3,1,2,10,30,1,1,1
45,3,2,1,2,510,70,1,1,2
1,3,2,1,2,16,30,4,1,1
46,1,2,2,2,536,60,6,2,2
45,3,1,1,2,513,30,7,1,2
42,3,2,1,2,453,30,4,1,1
40,3,2,1,2,421,30,4,2,1
1,3,2,2,3,2,30,4,2,1
46,2,2,1,3,544,30,4,2,2
45,3,2,1,3,511,30,4,1,1
54,3,1,1,3,635,60,1,1,2
44,3,2,1,3,500,30,1,1,1
30,2,2,1,3,325,30,1,2,2
14,3,3,1,3,215,40,1,1,1
22,3,2,1,3,286,40,1,1,2
1,3,2,1,3,32,30,1,1,1
35,3,1,1,3,393,60,6,1,2
3,3,4,1,3,63,40,4,1,2
5,3,2,2,3,91,30,4,1,1
46,3,2,1,3,544,30,4,1,1
16,3,2,1,4,228,30,4,2,1
54,3,2,1,4,635,30,1,1,1
13,3,1,1,4,203,40,4,1,1
97,3,2,1,4,926,30,1,1,1
1,3,2,1,4,2,20,1,1,1
7,3,2,1,4,130,40,1,8,1
20,3,1,1,4,307,30,1,1,1
13,3,2,1,4,204,30,1,2,1
42,3,2,1,4,461,30,1,7,2
1,3,1,1,4,28,30,4,1,1
6,2,1,1,4,106,30,5,1,1
1,3,2,1,4,12,30,4,1,1
41,3,2,1,4,431,30,4,1,1
1,3,2,1,4,3,30,4,1,1
6,3,2,1,4,102,30,4,2,1
1,3,2,1,5,15,30,4,5,2
97,3,2,1,5,938,60,4,2,2
10,3,1,1,5,146,30,7,2,1
95,2,1,1,5,914,30,5,2,2
1,3,2,1,5,32,30,1,2,1
21,3,2,1,5,254,50,1,1,2
41,3,2,1,5,433,30,1,5,2
55,3,1,1,5,641,30,1,1,1
43,3,2,1,5,474,30,1,1,1
1,3,2,4,5,4,30,4,1,1
47,3,1,1,5,564,30,1,1,1
14,3,2,3,5,210,30,4,1,2
37,3,1,1,5,411,60,6,1,2
1,2,1,1,5,1,40,4,1,1
92,3,1,1,6,911,60,6,5,2
46,2,2,3,6,531,40,6,8,2
6,3,2,1,6,107,30,4,2,1
43,3,1,1,6,476,60,1,1,2
97,3,2,1,6,926,30,4,8,1
1,3,2,1,6,16,30,1,1,1
1,3,1,1,6,1,30,1,1,1
10,3,2,1,6,146,30,1,2,1
95,3,2,3,6,923,40,1,1,1
45,3,2,1,6,517,30,1,1,1
1,3,1,1,6,30,30,1,1,1
21,3,1,2,6,250,30,1,1,1
36,3,1,1,6,407,40,4,2,2
50,3,2,1,6,583,30,4,5,1
44,3,2,1,6,494,30,7,1,2
13,2,2,1,6,204,30,4,1,1
50,3,4,2,6,596,70,6,2,2
41,3,1,1,6,33,70,4,2,2
46,3,2,1,7,544,30,4,2,1
13,3,2,1,7,203,30,1,1,1
14,3,2,1,7,213,40,1,1,2
33,3,2,1,7,361,40,1,1,2
31,3,2,1,7,342,30,1,8,1
97,2,2,4,7,937,60,1,2,2
16,3,2,1,7,232,40,1,2,1
47,2,2,1,7,565,20,4,2,1
33,3,3,2,7,362,40,4,2,2
5,3,2,1,7,91,30,4,5,1
10,2,1,1,7,150,30,4,2,1
45,3,2,3,7,510,30,4,2,1
20,3,1,1,7,306,70,4,1,1
4,1,1,1,1,74,30,4,5,1
1,3,2,1,1,27,30,1,1,1
53,3,2,1,1,623,30,1,2,1
44,3,1,1,1,500,30,1,2,1
50,3,1,1,1,586,60,1,2,2
47,2,2,2,1,562,60,1,5,2
40,3,2,1,1,420,30,4,2,1
13,3,2,1,1,206,30,4,1,1
1,3,1,1,1,8,30,4,5,1
55,3,1,1,2,645,70,6,2,2
97,3,2,2,2,919,60,4,2,2
3,2,1,1,2,61,60,1,1,2
4,3,2,1,2,83,30,1,2,1
3,3,2,1,2,61,30,1,1,1
3,3,2,1,2,65,60,6,8,2
10,3,1,1,2,139,60,1,1,2
3,3,2,1,2,61,20,1,9,2
1,2,1,1,2,1,30,1,1,1
14,3,1,1,2,215,30,1,1,1
44,3,2,1,2,491,30,4,1,1
62,3,2,1,2,745,30,4,2,1
1,3,3,2,2,15,50,4,1,2
20,3,2,1,2,309,30,4,2,1
13,2,1,1,2,200,20,4,1,1
45,2,1,1,3,511,30,4,1,1
12,3,3,1,3,181,60,6,1,2
94,2,1,1,3,925,30,4,5,2
43,2,2,2,3,485,30,1,1,2
1,3,2,1,3,30,30,1,1,1
47,3,2,1,3,555,60,1,1,2
30,3,2,2,3,320,40,1,1,2
46,3,2,1,3,532,60,1,1,2
6,3,1,1,3,106,20,1,1,1
13,2,2,2,3,206,30,1,2,1
5,2,1,1,3,93,30,4,1,1
53,3,4,3,3,622,60,6,1,2
10,3,1,1,3,139,30,4,1,1
22,3,2,1,3,277,30,4,2,1
33,3,1,1,3,365,30,4,1,1
1,3,1,1,3,29,30,6,1,1
44,3,2,1,3,496,40,4,1,2
52,3,1,1,4,610,60,6,1,2
55,3,1,1,4,646,30,6,1,2
45,3,2,1,4,514,30,1,1,1
50,3,2,1,4,583,30,1,1,2
20,3,2,1,4,300,30,1,8,1
60,3,1,1,4,725,60,1,8,2
4,3,2,2,4,72,30,1,1,1
1,2,1,1,4,3,30,1,1,1
14,3,2,1,4,215,30,1,1,1
1,3,2,1,4,4,30,1,1,1
33,3,2,2,4,362,30,1,1,1
14,3,3,1,4,213,40,4,9,1
1,2,1,1,4,28,30,4,1,1
20,3,2,1,4,300,30,4,2,1
42,2,4,2,4,456,70,7,1,2
33,3,1,1,4,363,30,6,2,2
42,3,2,1,4,455,30,6,8,2
12,3,2,1,4,184,20,4,2,2
16,3,2,3,5,232,30,4,1,1
31,3,2,1,5,340,30,4,1,1
35,3,1,1,5,394,40,1,5,1
61,3,1,1,5,731,30,1,1,1
22,3,2,3,5,285,30,1,1,1
50,3,3,1,5,583,50,1,1,2
97,2,1,1,5,935,30,1,1,1
54,3,2,1,5,633,70,1,1,2
22,3,2,2,5,276,30,1,1,1
13,3,2,2,5,203,30,1,1,1
52,3,2,1,5,601,20,1,1,1
47,2,2,1,5,565,20,1,1,1
34,3,1,1,5,384,30,1,1,1
52,2,2,1,5,601,20,4,1,1
35,3,2,1,5,393,20,6,1,2
46,3,3,1,5,535,40,4,1,2
1,3,2,1,5,25,30,4,1,1
35,3,2,1,5,390,30,4,1,1
1,3,2,1,6,13,30,4,1,1
63,3,2,1,6,751,70,6,2,2
40,3,1,1,6,424,60,1,1,2
13,3,3,1,6,206,30,1,1,1
50,3,1,1,6,584,60,1,1,2
3,3,1,1,6,63,30,1,8,1
20,3,3,1,6,309,30,1,8,1
5,3,2,3,6,91,20,1,1,1
41,3,2,2,6,436,30,1,1,1
97,3,3,2,6,926,30,1,8,1
21,3,1,1,6,256,60,1,2,2
13,2,2,2,6,200,20,1,9,1
45,3,2,1,6,510,30,4,1,1
12,2,2,1,6,182,30,6,1,2
54,3,2,1,6,635,40,4,1,1
30,3,4,1,6,327,70,6,1,2
45,3,2,1,6,515,30,4,1,2
1,3,2,1,6,17,20,4,1,1
14,3,2,3,6,210,30,5,1,1
1,3,1,1,7,22,30,4,1,1
46,3,1,1,7,539,60,1,1,2
16,3,1,1,7,231,60,1,1,2
44,3,2,1,7,498,20,1,9,1
45,2,1,1,7,517,40,1,1,2
20,3,1,1,7,302,30,1,1,1
21,3,2,1,7,255,60,1,2,2
1,3,1,1,7,16,30,1,1,1
4,3,1,1,7,71,20,4,1,1
46,3,2,1,7,544,30,4,1,1
50,3,2,2,7,589,60,6,1,2
35,3,3,2,7,390,30,4,1,1
1,3,2,1,1,5,20,4,2,1
1,3,2,5,1,20,30,4,3,1
50,2,2,1,1,581,30,1,1,1
36,3,2,1,1,402,60,1,1,2
37,3,2,1,1,416,30,1,1,1
22,3,2,1,1,286,60,4,1,2
20,3,2,2,1,306,30,4,1,1
54,3,2,2,1,635,50,4,1,2
60,3,1,1,1,723,30,4,1,1
46,2,2,1,2,536,50,6,1,2
36,3,3,1,2,407,30,1,4,2
10,2,1,1,2,148,30,1,1,1
50,2,2,2,2,589,60,1,2,2
1,3,1,1,2,4,30,1,1,1
50,3,2,2,2,596,30,1,1,1
50,3,2,1,2,583,40,1,1,1
5,3,4,3,2,92,70,4,2,2
13,3,2,1,2,202,30,4,9,1
63,3,2,1,2,753,30,4,1,1
1,3,2,1,2,10,30,4,1,1
20,3,2,1,2,306,30,4,8,1
1,3,2,1,2,18,30,4,1,1
45,3,1,1,3,517,50,6,8,2
95,3,1,1,3,923,30,1,1,1
32,3,2,1,3,356,30,1,1,1
10,3,2,1,3,146,70,1,1,2
1,3,1,2,3,16,20,1,1,1
62,3,1,1,3,741,30,1,1,1
62,3,2,1,3,741,30,1,1,1
55,3,2,1,3,643,30,1,1,1
61,3,2,2,3,730,30,1,1,1
41,3,1,1,3,437,30,1,1,1
52,3,2,2,3,606,60,1,1,2
6,3,1,1,3,104,30,4,1,1
97,2,2,1,3,938,50,4,2,2
62,2,2,1,3,745,30,4,1,1
97,2,1,1,3,926,30,4,1,1
60,3,2,1,3,725,60,4,1,2
52,3,5,1,4,601,20,4,1,1
44,3,2,1,4,493,30,4,1,1
1,3,1,1,4,32,20,1,7,1
44,3,2,1,4,492,40,1,1,1
3,2,1,1,4,65,30,1,1,1
60,3,1,1,4,724,30,1,1,1
1,3,1,1,4,15,30,1,1,1
55,2,1,1,4,645,60,1,1,2
6,3,2,1,4,102,30,1,1,1
1,3,2,1,4,10,30,1,1,1
40,3,2,1,4,420,40,1,1,2
6,3,1,1,4,102,30,7,1,1
31,3,1,1,4,345,30,4,1,1
13,3,2,3,4,200,40,4,1,2
47,3,2,2,4,551,40,4,1,2
33,3,1,1,4,360,30,4,8,1
4,3,1,3,4,75,70,6,1,2
16,2,2,1,5,231,30,4,1,1
42,3,2,1,5,455,30,1,1,1
45,2,1,1,5,511,30,1,1,2
50,3,2,2,5,589,30,1,2,2
36,3,2,2,5,406,60,1,1,2
20,3,2,1,5,300,30,1,1,1
30,3,3,1,5,321,70,1,2,2
50,3,2,2,5,586,60,1,1,2
93,3,1,1,5,934,30,1,2,1
20,3,2,1,5,300,30,4,1,1
21,3,2,1,5,255,30,7,1,1
1,3,2,1,5,7,30,4,1,1
1,3,2,1,5,4,30,4,1,1
1,2,4,1,6,4,20,4,1,1
95,3,1,1,6,923,30,4,2,1
1,3,1,1,6,28,30,1,2,1
30,3,2,2,6,320,30,1,2,1
42,2,2,2,6,461,30,1,2,2
31,3,2,1,6,345,60,1,1,2
33,3,1,1,6,363,60,1,1,2
10,3,2,1,6,147,30,1,1,1
50,3,2,1,6,596,40,1,1,2
1,3,3,1,6,18,30,1,1,1
41,3,3,4,6,434,70,4,1,2
46,3,1,2,6,530,60,6,1,2
21,2,4,3,6,254,60,4,1,2
41,3,2,1,6,434,30,7,1,1
5,3,2,2,6,91,30,4,1,1
1,3,3,1,6,32,70,6,1,2
20,3,1,1,7,303,30,4,1,1
14,3,4,1,7,213,30,4,1,1
23,3,2,1,7,290,70,1,1,2
41,3,2,1,7,433,60,1,1,2
12,1,1,1,7,184,50,1,1,2
43,3,2,1,7,485,30,1,1,2
32,3,2,1,7,352,30,1,1,1
1,3,3,2,7,20,30,1,1,1
1,3,1,1,7,4,30,4,1,1
50,3,4,1,7,581,30,4,2,1
34,3,1,1,7,381,30,4,1,2
1,3,1,1,7,30,30,4,2,1
46,3,1,1,7,541,30,7,2,1
1,3,1,1,1,14,30,4,1,1
21,3,2,3,1,251,50,1,1,2
43,2,1,1,1,485,60,1,1,2
31,3,2,1,1,346,40,1,1,1
95,3,2,1,1,940,50,1,1,1
47,2,2,1,1,565,30,4,1,1
62,2,2,2,1,741,70,4,1,2
20,3,2,4,1,303,40,4,1,1
21,3,2,1,1,251,40,4,9,1
11,3,4,2,2,169,60,4,1,2
20,3,2,3,2,303,40,1,1,1
1,3,2,1,2,30,30,1,1,1
47,3,1,1,2,560,30,1,8,1
45,3,2,1,2,510,30,1,1,1
97,3,1,1,2,938,70,1,1,2
16,2,2,4,2,231,60,1,1,2
4,2,1,1,2,79,30,1,2,1
1,3,3,5,2,32,70,6,1,2
54,3,1,1,2,635,30,4,1,1
47,3,1,1,2,556,60,6,1,2
60,2,4,1,2,721,70,6,1,2
21,3,2,1,3,250,50,4,1,2
97,3,1,1,3,935,30,1,5,1
42,2,2,2,3,463,60,1,1,2
1,3,2,1,3,3,20,1,1,1
10,3,1,1,3,146,30,1,1,1
1,3,1,1,3,19,30,1,1,1
42,3,4,1,3,452,30,1,1,1
21,3,2,2,3,251,60,1,1,2
44,3,2,1,3,499,30,4,5,1
37,3,2,1,3,410,60,7,1,2
13,2,2,1,3,200,30,4,2,1
36,3,1,1,3,407,60,6,5,2
45,3,3,2,3,512,40,4,2,1
47,3,2,1,3,562,60,6,2,1
50,3,1,1,3,582,30,4,2,1
23,3,2,1,4,290,60,4,2,2
42,3,2,1,4,450,30,1,1,1
1,3,2,2,4,13,30,1,2,1
43,3,2,2,4,474,30,1,2,1
41,3,2,1,4,437,30,1,2,1
42,3,3,1,4,451,30,1,2,1
4,3,2,1,4,72,30,1,1,1
1,3,2,1,4,18,30,1,2,1
47,3,2,1,4,563,50,6,2,2
1,3,2,1,4,23,30,4,1,1
37,3,3,2,4,413,70,4,1,2
1,3,3,2,4,19,30,1,1,1
1,3,2,1,4,22,30,7,1,1
36,3,1,1,4,404,30,4,9,1
37,3,2,1,5,411,70,6,8,2
94,3,2,1,5,925,40,1,1,1
63,3,1,1,5,752,30,1,1,2
1,3,2,1,5,9,30,1,1,1
31,3,1,1,5,346,30,1,9,1
44,3,2,2,5,499,30,1,1,1
1,3,2,1,5,6,30,1,1,1
34,3,2,1,5,382,40,1,1,2
30,3,2,1,5,320,30,1,1,2
62,2,2,7,5,744,30,1,2,2
97,3,2,1,5,938,30,1,1,2
95,3,2,1,5,923,30,7,8,2
4,3,1,1,5,75,30,4,2,1
1,3,2,1,5,5,20,4,1,1
46,3,2,3,5,538,40,4,1,1
43,3,2,1,5,476,30,4,1,1
46,3,1,1,5,530,60,7,1,2
97,3,2,1,6,926,30,4,5,1
43,3,2,1,6,479,70,7,1,2
52,3,5,1,6,601,20,1,1,1
1,3,1,1,6,15,30,1,1,1
50,3,2,1,6,596,70,1,5,2
11,2,2,2,6,169,40,1,1,1
20,3,2,1,6,300,40,1,1,1
1,3,2,1,6,17,40,1,2,1
1,2,2,2,6,5,30,1,1,1
1,3,1,1,6,7,30,4,1,1
33,3,2,1,6,363,30,4,5,1
47,3,2,1,6,564,30,7,9,1
62,3,1,1,6,741,70,6,4,2
62,3,1,1,6,740,30,4,2,1
11,3,1,1,6,169,30,4,4,1
1,3,3,1,7,18,30,4,2,1
93,3,2,1,7,912,70,6,1,2
95,3,2,4,7,940,60,1,4,2
43,3,2,1,7,484,30,1,1,1
5,2,1,1,7,95,30,1,1,1
32,3,1,1,7,352,30,1,1,1
1,3,2,1,7,25,30,1,1,1
47,3,2,1,7,554,60,1,1,2
6,2,1,6,7,104,70,4,6,2
47,3,2,1,7,565,20,4,9,1
3,2,1,1,7,64,60,6,4,2
43,3,2,1,7,477,30,4,1,1
14,3,2,3,7,215,30,4,2,2
47,2,2,2,1,565,30,4,1,1
50,3,2,1,1,585,70,6,1,2
1,3,2,2,1,14,40,1,1,1
44,3,1,1,1,505,30,1,1,1
33,3,2,1,1,364,30,1,2,1
46,3,2,2,1,532,40,4,1,2
10,3,1,1,1,139,30,4,2,2
42,3,1,1,1,451,60,6,1,2
1,3,2,2,1,19,30,4,1,1
1,3,2,1,2,17,30,4,1,1
7,3,2,1,2,130,40,4,1,1
23,3,2,1,2,291,30,1,1,2
46,3,1,1,2,531,30,1,1,1
10,2,1,1,2,147,20,1,4,1
1,3,2,1,2,21,30,1,1,1
31,3,1,1,2,340,30,1,1,1
1,3,2,1,2,4,20,1,1,1
11,2,1,1,2,161,30,4,1,1
20,2,1,1,2,300,30,4,1,1
6,3,3,2,2,107,70,4,4,1
14,3,1,1,2,215,30,4,4,1
1,3,2,1,2,23,30,4,1,1
1,3,2,1,3,1,30,1,1,1
47,3,1,2,3,562,30,1,1,2
21,3,2,1,3,253,50,1,1,1
43,3,2,1,3,484,70,1,1,2
1,3,1,3,3,4,30,1,1,1
